input_power_dut,output_power_dut,gain,sg_power,dc_power,efficiency,V_carrier_CH1,V_carrier_CH2,I_carrier_CH1,I_carrier_CH2,frequency_ghz
-2.9299999999999997,-10.760000000000002,-7.830000000000002,-2.0,2.1145531600000003,0.003969916682158023,2.8174,27.9924,0.0004,0.0755,1.2
-1.9299999999999997,-10.209999999999997,-8.279999999999998,-1.0,2.1145531600000003,0.004505898371567324,2.8174,27.9924,0.0004,0.0755,1.2
-0.9299999999999997,-8.819999999999997,-7.889999999999997,0.0,2.11455312,0.006205566020584081,2.8173,27.9924,0.0004,0.0755,1.2
0.07000000000000028,-8.120000000000001,-8.190000000000001,1.0,2.11735236,0.0072812654240957736,2.8173,27.9924,0.0004,0.0756,1.2
1.0700000000000003,-7.510000000000002,-8.580000000000002,2.0,2.1173524,0.008379282923759711,2.8174,27.9924,0.0004,0.0756,1.2
2.0700000000000003,-6.539999999999996,-8.609999999999996,3.0,2.1201516,0.01046244249609426,2.8173,27.9924,0.0004,0.0757,1.2
3.0700000000000003,-5.02,-8.09,4.0,2.12294334,0.014827283681067614,2.8175,27.9923,0.0004,0.0758,1.2
4.07,-3.7199999999999953,-7.789999999999996,5.0,2.12856456,0.019948634489447337,2.8174,27.9926,0.0004,0.076,1.2
5.07,-3.0399999999999956,-8.109999999999996,6.0,2.13134095,0.02329952518626064,2.8173,27.9923,0.0004,0.0761,1.2
6.07,-1.899999999999995,-7.969999999999995,7.0,2.1369394500000003,0.030213969283718178,2.8174,27.9923,0.0004,0.0763,1.2
7.07,-0.8199999999999967,-7.889999999999997,8.0,2.14533718,0.03859263576051642,2.8175,27.9923,0.0004,0.0766,1.2
8.07,0.05000000000000071,-8.02,9.0,2.15654176,0.04690748275887308,2.8174,27.9924,0.0004,0.077,1.2
9.07,0.8399999999999999,-8.23,10.0,2.17053021,0.055902877779571536,2.8174,27.9923,0.0004,0.0775,1.2
-10.945,-16.539999999999996,-5.594999999999995,-10.0,2.1145455699999998,0.0010490180260339455,2.8173,27.9923,0.0004,0.0755,1.3
-9.945,-15.969999999999995,-6.024999999999995,-9.0,2.11174638,0.0011977281080724036,2.8174,27.9923,0.0004,0.0754,1.3
-8.945,-15.010000000000002,-6.065000000000001,-8.0,2.1145455699999998,0.0014920485366388318,2.8173,27.9923,0.0004,0.0755,1.3
